timeStep pedestrianId x-PID9 y-PID9
1 3 39.7 163.6
1 9 36.0 146.0
1 10 38.2 156.1
2 3 39.48908998223396 163.13166787953514
2 9 36.240950703859845 146.47633389609402
2 10 38.2 156.1
3 3 39.49648472232534 162.66291474381788
3 9 36.421993917233436 146.97401494223087
3 10 38.2 156.1
4 3 39.688301170773755 162.19413016045618
4 9 36.53655998481231 147.49538413811626
4 10 38.2 156.1
5 3 39.459977570213404 161.73403631776716
5 9 36.92061086083394 147.85884941086152
5 10 38.2 156.1
6 3 39.2017967371388 161.29106086424395
6 9 37.29091603628374 148.24058027608402
6 10 38.2 156.1
7 3 38.91817410303743 160.86291045548336
7 9 37.62215998967212 148.65918350779913
7 10 38.2 156.1
8 3 38.61225449934939 160.45031960884162
8 9 37.670076955141425 149.18082470673593
8 10 38.2 156.1
9 3 38.534086499637866 159.98047257227034
9 9 37.79072821395412 149.68024409356843
9 10 38.2 156.1
