,id,inter_arrival_t_sec,"('Parameter', 'vadere', 'sources.[id==3002].distributionParameters')","('Parameter', 'vadere', 'sources.[id==3003].distributionParameters')","('Parameter', 'vadere', 'sources.[id==3004].distributionParameters')","('Parameter', 'omnet', 'sim-time-limit')","('Parameter', 'omnet', '*.station[0].app[0].incidentTime')","('Parameter', 'dummy', 'number_of_agents_mean')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')",time_all_informed,number_of_peaks,index,count,mean,std,min,25%,50%,75%,max
0,0,[37.99999999999999],[37.99999999999999],[37.99999999999999],[37.99999999999999],180s,100s,1.1760912590556811,10.440960884094238,0,11.200000000000003,2,numberPedsAll-PID12,28.0,19.785714285714285,0.41785544701867244,19.0,20.0,20.0,20.0,20.0
1,0,[37.99999999999999],[37.99999999999999],[37.99999999999999],[37.99999999999999],180s,100s,1.1760912590556811,8.93833065032959,0,11.200000000000003,2,numberPedsAll-PID12,28.0,19.785714285714285,0.41785544701867244,19.0,20.0,20.0,20.0,20.0
2,1,[26.870057685088796],[26.870057685088796],[26.870057685088796],[26.870057685088796],180s,100s,1.3266062568876722,12.200502157211304,0,28.400000000000006,1,numberPedsAll-PID12,71.0,27.197183098591548,2.265390021985234,23.0,26.0,28.0,29.0,30.0
3,1,[26.870057685088796],[26.870057685088796],[26.870057685088796],[26.870057685088796],180s,100s,1.3266062568876722,12.466034173965454,0,28.400000000000006,1,numberPedsAll-PID12,71.0,27.197183098591548,2.265390021985234,23.0,26.0,28.0,29.0,30.0
4,2,[19.000000000000004],[19.000000000000004],[19.000000000000004],[19.000000000000004],180s,100s,1.4771212547196624,10.395227670669557,0,6.400000000000006,1,numberPedsAll-PID12,16.0,33.0,0.0,33.0,33.0,33.0,33.0,33.0
5,2,[19.000000000000004],[19.000000000000004],[19.000000000000004],[19.000000000000004],180s,100s,1.4771212547196624,10.222928285598757,0,6.400000000000006,1,numberPedsAll-PID12,16.0,33.0,0.0,33.0,33.0,33.0,33.0,33.0
