id,run_id,"('Parameter', 'vadere', 'fixedSeed')","('Parameter', 'vadere', 'reactionProbabilities.[stimulusId==-400].reactionProbability')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
111,0,21002,0.5,145.79536533355713,0
112,0,4510,0.5,145.43974995613098,0
113,0,68246,0.5,145.10285329818726,0
114,0,64237,0.5,144.9057126045227,0
115,0,42962,0.5,116.30927753448486,0
116,0,9974,0.5,144.94560527801514,0
117,0,32768,0.5,141.23018646240234,0
118,0,97721,0.5,143.77271246910095,0
119,0,47338,0.5,144.41142916679382,0
120,0,5841,0.5,143.60762643814087,0
121,0,55103,0.5,144.1085638999939,0
122,0,18179,0.5,141.17258620262146,0
123,0,79062,0.5,139.93456745147705,0
124,0,46542,0.5,119.05379152297974,0
125,0,50018,0.5,141.46821665763855,0
126,0,55216,0.5,142.04391717910767,0
127,0,37175,0.5,144.17295670509338,0
128,0,88469,0.5,140.90752959251404,0
129,0,34383,0.5,120.91966557502747,0
130,0,59878,0.5,146.46580123901367,0
131,0,22895,0.5,142.21478724479675,0
132,0,89898,0.5,142.04006004333496,0
133,0,39729,0.5,143.18990921974182,0
134,0,86750,0.5,143.43743205070496,0
135,0,47526,0.5,150.0774986743927,0
136,0,17430,0.5,141.18636775016785,0
137,0,59891,0.5,142.03290390968323,0
138,0,31377,0.5,142.94215297698975,0
139,0,57626,0.5,141.13096451759338,0
140,0,80390,0.5,144.1496865749359,0
141,0,49184,0.5,142.5288109779358,0
142,0,5802,0.5,140.28125929832458,0
143,0,76407,0.5,147.16646885871887,0
144,0,532,0.5,115.40882730484009,0
145,0,30888,0.5,145.56396341323853,0
146,0,17561,0.5,141.50830078125,0
147,0,25553,0.5,141.6333417892456,0
148,0,39697,0.5,139.38717937469482,0
149,0,70300,0.5,116.35730385780334,0
150,0,47992,0.5,143.6274242401123,0
151,0,31482,0.5,140.75182843208313,0
152,0,41205,0.5,138.02174830436707,0
153,0,87385,0.5,141.66491103172302,0
154,0,71957,0.5,143.47958159446716,0
155,0,59065,0.5,144.20805430412292,0
156,0,57152,0.5,144.6927638053894,0
157,0,61601,0.5,97.35018920898438,0
158,0,8519,0.5,88.17450189590454,0
159,0,85588,0.5,95.03689074516296,0
160,0,76618,0.5,141.9893181324005,0
161,0,42558,0.5,143.30318427085876,0
162,0,65788,0.5,114.36237716674805,0
163,0,20503,0.5,139.22872757911682,0
164,0,29400,0.5,143.9118356704712,0
165,0,54116,0.5,143.24730968475342,0
166,0,31245,0.5,143.58501172065735,0
167,0,4840,0.5,115.4443290233612,0
168,0,4162,0.5,141.06948494911194,0
169,0,65091,0.5,140.23469376564026,0
170,0,39475,0.5,141.4496202468872,0
171,0,79519,0.5,140.46406173706055,0
172,0,86232,0.5,138.2657494544983,0
173,0,9442,0.5,139.08866357803345,0
174,0,69925,0.5,137.58588480949402,0
175,0,10611,0.5,140.4378800392151,0
176,0,19620,0.5,140.72452211380005,0
177,0,50387,0.5,121.01544904708862,0
178,0,74349,0.5,116.3049464225769,0
179,0,49044,0.5,139.73359084129333,0
180,0,78815,0.5,142.34649419784546,0
181,0,19617,0.5,125.93886351585388,0
182,0,14801,0.5,125.07542395591736,0
183,0,12663,0.5,100.79393744468689,0
184,0,57875,0.5,127.86461663246155,0
185,0,21806,0.5,117.34881782531738,0
186,0,25026,0.5,104.51791310310364,0
187,0,45703,0.5,124.22542977333069,0
188,0,56785,0.5,128.81276535987854,0
189,0,54275,0.5,128.14715147018433,0
190,0,58407,0.5,129.614031791687,0
191,0,32176,0.5,124.92908430099487,0
192,0,89233,0.5,130.25321435928345,0
193,0,36006,0.5,128.15541911125183,0
194,0,18811,0.5,125.55354452133179,0
195,0,80905,0.5,128.79632782936096,0
196,0,68401,0.5,127.98003458976746,0
197,0,23392,0.5,127.29636192321777,0
198,0,15661,0.5,127.11635851860046,0
199,0,35000,0.5,125.43676733970642,0
