id,run_id,"('Parameter', 'vadere', 'fixedSeed')","('Parameter', 'vadere', 'reactionProbabilities.[stimulusId==-400].reactionProbability')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
0,0,74895,1.0,225.82814955711365,0
1,0,4271,1.0,193.00739312171936,0
2,0,56216,1.0,203.33988451957703,0
3,0,63251,1.0,211.17483115196228,0
4,0,75772,1.0,176.32589983940125,0
5,0,1945,1.0,201.38245248794556,0
6,0,27014,1.0,211.24034905433655,0
7,0,60632,1.0,193.3450539112091,0
8,0,64396,1.0,193.7731900215149,0
9,0,36376,1.0,215.53347945213318,0
10,0,85652,1.0,173.8359251022339,0
11,0,21002,1.0,199.56005907058716,0
12,0,4510,1.0,216.76503920555115,0
13,0,68246,1.0,203.06191396713257,0
14,0,64237,1.0,167.7013463973999,0
15,0,42962,1.0,225.66111493110657,0
16,0,9974,1.0,198.89333367347717,0
17,0,32768,1.0,176.3108012676239,0
18,0,97721,1.0,231.62137174606323,0
19,0,47338,1.0,195.54238843917847,0
20,0,5841,1.0,192.50795125961304,0
21,0,55103,1.0,216.78859901428223,0
22,0,18179,1.0,202.0017614364624,0
23,0,79062,1.0,190.00754714012146,0
24,0,46542,1.0,212.3151729106903,0
25,0,50018,1.0,182.47237968444824,0
26,0,55216,1.0,174.81772422790527,0
27,0,37175,1.0,211.16913843154907,0
28,0,88469,1.0,168.12698793411255,0
29,0,34383,1.0,198.15169763565063,0
30,0,59878,1.0,215.5149428844452,0
31,0,22895,1.0,168.46596455574036,0
32,0,89898,1.0,202.74205112457275,0
33,0,39729,1.0,205.53191232681274,0
34,0,86750,1.0,197.09397411346436,0
35,0,47526,1.0,194.119482755661,0
36,0,17430,1.0,192.13896536827087,0
37,0,59891,1.0,206.275630235672,0
38,0,31377,1.0,197.8954780101776,0
39,0,57626,1.0,199.09043192863464,0
40,0,80390,1.0,193.1874384880066,0
41,0,49184,1.0,195.83578276634216,0
42,0,5802,1.0,210.5528814792633,0
43,0,76407,1.0,200.17080855369568,0
44,0,532,1.0,169.75764846801758,0
45,0,30888,1.0,208.41825079917908,0
46,0,17561,1.0,191.36980175971985,0
47,0,25553,1.0,192.42461895942688,0
48,0,39697,1.0,201.5673851966858,0
49,0,70300,1.0,199.9011948108673,0
50,0,47992,1.0,189.21339917182922,0
51,0,31482,1.0,201.51557278633118,0
52,0,41205,1.0,194.23299622535706,0
53,0,87385,1.0,186.6757469177246,0
54,0,71957,1.0,197.47292184829712,0
55,0,59065,1.0,196.12329959869385,0
56,0,57152,1.0,193.22688174247742,0
57,0,61601,1.0,197.51371693611145,0
58,0,8519,1.0,194.8808581829071,0
59,0,85588,1.0,174.68303108215332,0
60,0,76618,1.0,207.88768005371094,0
61,0,42558,1.0,196.1875307559967,0
62,0,65788,1.0,185.6326904296875,0
63,0,20503,1.0,200.4485650062561,0
64,0,29400,1.0,198.78591108322144,0
65,0,54116,1.0,184.63428807258606,0
66,0,31245,1.0,197.69925737380981,0
67,0,4840,1.0,173.07174921035767,0
68,0,4162,1.0,189.10871934890747,0
69,0,65091,1.0,207.4436318874359,0
70,0,39475,1.0,187.99189400672913,0
71,0,79519,1.0,186.7819540500641,0
72,0,86232,1.0,187.47357940673828,0
73,0,9442,1.0,181.35737562179565,0
74,0,69925,1.0,154.4528591632843,0
75,0,10611,1.0,190.41961097717285,0
76,0,19620,1.0,155.857519865036,0
77,0,50387,1.0,182.31583261489868,0
78,0,74349,1.0,188.3358781337738,0
79,0,49044,1.0,163.40489196777344,0
80,0,78815,1.0,181.9636778831482,0
81,0,19617,1.0,190.39763617515564,0
82,0,14801,1.0,187.77908635139465,0
83,0,12663,1.0,180.5465531349182,0
84,0,57875,1.0,190.97841882705688,0
85,0,21806,1.0,179.6986575126648,0
86,0,25026,1.0,190.89945816993713,0
87,0,45703,1.0,193.66460180282593,0
88,0,56785,1.0,180.36765718460083,0
89,0,54275,1.0,178.80546402931213,0
90,0,58407,1.0,193.44839477539062,0
91,0,32176,1.0,181.8089075088501,0
92,0,89233,1.0,175.1463634967804,0
93,0,36006,1.0,185.8141541481018,0
94,0,18811,1.0,184.86648392677307,0
95,0,80905,1.0,182.3067135810852,0
96,0,68401,1.0,183.82386350631714,0
97,0,23392,1.0,179.87736463546753,0
98,0,15661,1.0,185.74696254730225,0
99,0,35000,1.0,185.1882038116455,0
