id,run_id,"('Parameter', 'vadere', 'fixedSeed')","('Parameter', 'vadere', 'reactionProbabilities.[stimulusId==-400].reactionProbability')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
0,0,74895,1.0,187.4760024547577,0
1,0,4271,1.0,152.35504794120789,0
2,0,56216,1.0,185.34979343414307,0
3,0,63251,1.0,153.0339002609253,0
4,0,75772,1.0,177.62121057510376,0
5,0,1945,1.0,176.01719045639038,0
6,0,27014,1.0,188.66055750846863,0
7,0,60632,1.0,179.16455459594727,0
8,0,64396,1.0,172.5388376712799,0
9,0,36376,1.0,185.7354187965393,0
10,0,85652,1.0,188.1143753528595,0
11,0,21002,1.0,161.39023995399475,0
12,0,4510,1.0,172.52707171440125,0
13,0,68246,1.0,177.38008570671082,0
14,0,64237,1.0,175.47506952285767,0
15,0,42962,1.0,187.95756268501282,0
16,0,9974,1.0,159.37359046936035,0
17,0,32768,1.0,178.24565434455872,0
18,0,97721,1.0,147.26365327835083,0
19,0,47338,1.0,182.98556542396545,0
20,0,5841,1.0,160.84982752799988,0
21,0,55103,1.0,184.81353878974915,0
22,0,18179,1.0,175.9289472103119,0
23,0,79062,1.0,174.65498113632202,0
24,0,46542,1.0,177.16520166397095,0
25,0,50018,1.0,162.75238609313965,0
26,0,55216,1.0,186.17622637748718,0
27,0,37175,1.0,181.56824922561646,0
28,0,88469,1.0,177.81701040267944,0
29,0,34383,1.0,165.0710482597351,0
30,0,59878,1.0,166.8639907836914,0
31,0,22895,1.0,176.68583846092224,0
32,0,89898,1.0,186.46907496452332,0
33,0,39729,1.0,172.4499990940094,0
34,0,86750,1.0,182.4911608695984,0
35,0,47526,1.0,188.09800243377686,0
36,0,17430,1.0,163.55225658416748,0
37,0,59891,1.0,174.93213081359863,0
38,0,31377,1.0,185.12599778175354,0
39,0,57626,1.0,175.35353755950928,0
40,0,80390,1.0,154.7613160610199,0
41,0,49184,1.0,184.94919395446777,0
42,0,5802,1.0,182.31822967529297,0
43,0,76407,1.0,154.73934054374695,0
44,0,532,1.0,164.9676947593689,0
45,0,30888,1.0,187.63346099853516,0
46,0,17561,1.0,161.64706921577454,0
47,0,25553,1.0,183.15741443634033,0
48,0,39697,1.0,172.04708051681519,0
49,0,70300,1.0,160.31243419647217,0
50,0,47992,1.0,162.74495720863342,0
51,0,31482,1.0,177.59099173545837,0
52,0,41205,1.0,175.6507465839386,0
53,0,87385,1.0,172.6368646621704,0
54,0,71957,1.0,173.62973594665527,0
55,0,59065,1.0,187.5376420021057,0
56,0,57152,1.0,163.38326978683472,0
