,vp
0,0.6789838464413803
1,0.7050087424436424
2,0.7239019157282722
3,0.7239019157282722
4,0.75270439271319
5,0.75270439271319
6,1.5504257640731294
7,1.5504257640731294
8,0.7783344359070847
9,0.8027070482650086
10,0.8027070482650086
11,0.8027070482650086
12,0.8027070482650086
13,0.8107323678113385
14,0.8107323678113385
15,0.8107323678113385
16,0.8107323678113385
17,0.8134956116321284
18,0.8134956116321284
19,0.8134956116321284
20,0.8134956116321284
21,0.8134956116321284
22,0.8100511174337028
23,0.8100511174337028
24,0.8100511174337028
25,0.8100511174337028
26,0.8100511174337028
27,0.8119823997874868
28,0.8119823997874868
29,0.8119823997874868
30,0.8119823997874868
31,0.8119823997874868
32,0.8108341783044029
33,0.8108341783044029
34,0.8108341783044029
35,0.8108341783044029
36,0.8108341783044029
37,0.8135373375184728
38,0.8135373375184728
39,0.8135373375184728
40,0.8135373375184728
41,0.8135373375184728
42,0.8126831364937039
43,0.8126831364937039
44,0.8126831364937039
45,0.8126831364937039
46,0.8126831364937039
47,0.8120797354540739
48,0.8120797354540739
49,0.8120797354540739
50,0.8120797354540739
51,0.8120797354540739
52,0.8120797354540739
53,0.8107061129776869
54,0.8107061129776869
55,0.8107061129776869
56,0.8107061129776869
57,0.8107061129776869
58,0.8107061129776869
59,0.8114656294328104
60,0.8114656294328104
61,0.8114656294328104
62,0.8114656294328104
63,0.8114656294328104
64,0.8115480760442253
65,0.8115480760442253
66,0.8115480760442253
67,0.8115480760442253
68,0.8115480760442253
69,0.8115480760442253
70,0.8122347864809337
71,0.8122347864809337
72,0.8122347864809337
73,0.8122347864809337
74,0.8122347864809337
75,0.8131006882390103
76,0.8131006882390103
77,0.8131006882390103
78,0.8131006882390103
79,0.8116501711941024
80,0.8116501711941024
81,0.8116501711941024
82,0.8116501711941024
83,0.8128461009681501
84,0.8128461009681501
85,0.8128461009681501
86,0.810234665785427
87,0.810234665785427
88,0.810234665785427
89,0.8111743653388509
90,0.8111743653388509
91,0.8109469751339676
92,0.8109469751339676
93,0.8109469751339676
94,0.8102789082791008
95,0.8102789082791008
96,0.8102789082791008
97,0.809125456203222
98,0.809125456203222
99,0.809125456203222
100,0.8122253574226125
101,0.8122253574226125
102,0.8115833301271445
103,0.8115833301271445
104,0.8089911469723224
105,0.8089911469723224
106,0.8089911469723224
107,0.8089911469723224
108,0.8101534323350883
109,0.8101534323350883
110,0.8101534323350883
111,0.8101534323350883
112,0.8104069368706966
113,0.8104069368706966
114,0.8104069368706966
115,0.8101095130684669
116,0.8101095130684669
117,0.8101095130684669
118,0.8094978194544317
119,0.8094978194544317
120,0.8094978194544317
121,0.8114909177430221
122,0.8114909177430221
123,0.8114909177430221
124,0.7913077180662282
125,0.7913077180662282
126,0.7913077180662282
127,0.7915440791162203
128,0.7915440791162203
129,0.7915440791162203
130,0.7928792734916025
131,0.7928792734916025
132,0.7928792734916025
133,0.8126539722295508
134,0.8126539722295508
135,0.8102932014599774
136,0.8102932014599774
137,0.8131875190266726
138,0.8131875190266726
139,0.7707387146757108
140,0.7707387146757108
141,0.6563471510948825
142,0.6563471510948825
143,0.5516862299528614
144,0.5516862299528614
145,0.4501110374737252
146,0.4501110374737252
147,0.01656568751779551
148,0.010585463445961316
149,0.010585463445961316
150,0.007110021656273721
151,0.007110021656273721
152,0.00468977757762083
153,0.00468977757762083
154,0.0031215500725947256
155,0.0031215500725947256
156,0.0020806043488150834
157,0.0020806043488150834
158,0.001362133361244982
159,0.001362133361244982
160,0.0009393217883819655
161,0.0009393217883819655
162,0.0005983473746955688
163,0.0005983473746955688
164,0.00039661962601373333
165,0.00039661962601373333
166,0.00026818595873325717
167,0.00026818595873325717
168,0.00018319187267627242
169,0.00018319187267627242
170,0.00011770584792684567
171,0.00011770584792684567
172,7.711629736576283e-05
173,7.711629736576283e-05
174,5.1589177095472615e-05
175,5.1589177095472615e-05
176,3.396854573218733e-05
177,3.396854573218733e-05
178,2.3245017099586248e-05
179,2.3245017099586248e-05
180,1.5435378225329122e-05
181,1.5435378225329122e-05
182,1.0031486902943638e-05
183,1.0031486902943638e-05
184,6.455981190767406e-06
185,6.455981190767406e-06
186,4.34489094348505e-06
187,4.34489094348505e-06
188,2.922550698710466e-06
189,2.922550698710466e-06
190,1.924588163922526e-06
191,1.924588163922526e-06
192,1.2982931017194304e-06
193,1.2982931017194304e-06
194,0.0007031907868007734
195,0.0007031907868007734
196,0.0007031907868007734
197,0.004930798074289997
198,0.004930798074289997
199,0.004930798074289997
200,0.013615562777896464
201,0.013615562777896464
202,0.013615562777896464
203,0.028462564978643055
204,0.028462564978643055
205,0.028462564978643055
206,0.04512485542109911
207,0.04512485542109911
208,0.04512485542109911
209,0.06375690174207867
210,0.06375690174207867
211,0.06375690174207867
212,0.08477372573252015
213,0.08477372573252015
214,0.08477372573252015
215,0.10596992509579789
216,0.10596992509579789
217,0.10596992509579789
218,0.1293582473861096
219,0.1293582473861096
220,0.1293582473861096
221,0.15085833919036987
222,0.15085833919036987
223,0.15085833919036987
224,0.17239599364786162
225,0.17239599364786162
226,0.17239599364786162
227,0.19859758070911238
228,0.19859758070911238
229,0.19859758070911238
230,0.22352709152701133
231,0.22352709152701133
232,0.22352709152701133
233,0.25420137018711486
234,0.25420137018711486
235,0.25420137018711486
236,0.25420137018711486
237,0.2733322087305948
238,0.2733322087305948
239,0.2733322087305948
240,0.2733322087305948
241,0.2983874186012324
242,0.5918049550747196
243,0.2983874186012324
244,0.2983874186012324
245,0.5918049550747196
246,0.3215862593028854
247,0.3215862593028854
248,0.3215862593028854
249,0.3215862593028854
250,0.3215862593028854
251,0.34219392753225747
252,0.34219392753225747
253,0.34219392753225747
254,0.34219392753225747
255,0.34219392753225747
256,0.37090804925722787
257,0.37090804925722787
258,0.37090804925722787
259,0.7367567784446809
260,0.37090804925722787
261,0.3932350855563625
262,0.3932350855563625
263,0.3932350855563625
264,0.3932350855563625
265,0.3932350855563625
266,0.23267746481420612
267,0.23267746481420612
268,0.23267746481420612
269,0.23267746481420612
270,0.23267746481420612
271,0.2587812098512148
272,0.2587812098512148
273,0.2587812098512148
274,0.2587812098512148
275,0.28302325122153665
276,0.28302325122153665
277,0.28302325122153665
278,0.28302325122153665
279,0.31205100617202375
280,0.31205100617202375
281,0.31205100617202375
282,0.31205100617202375
283,0.33698962273702066
284,0.33698962273702066
285,0.33698962273702066
286,0.3613606422217744
287,0.3613606422217744
288,0.3613606422217744
289,0.3857453904347949
290,0.3857453904347949
291,0.3857453904347949
292,0.40984021960866296
293,0.40984021960866296
294,0.40984021960866296
295,0.86082366581679
296,0.86082366581679
297,1.2820340790953113
298,0.4540637171342762
