,pv
0,0.147906464520409
1,0.1533223280014198
2,0.15202925579897367
3,0.13836224979486583
4,0.1333157681310803
5,0.14351360991850584
6,0.13970487459882863
7,0.15213581768487558
8,0.16343545557978392
9,0.1459291265775655
10,0.1549691467247896
11,0.14762551711933677
12,0.15679495182829367
13,0.16034328090083977
14,0.16045924891698693
15,0.15981948619234398
16,0.14406696002443178
17,0.1404108696151894
18,0.13701270962655668
19,0.15209654562465946
20,0.15839092290722795
21,0.1424002123109769
22,0.13389716214170508
23,0.1427790944015585
24,0.15043323615197754
25,0.14077361967327617
26,0.15807583459372226
27,0.14998157681820445
28,0.15183835951011043
29,0.13480306538104167
30,0.14029893887963868
31,0.14872213427809375
32,0.3194710518593234
33,0.15006384277236276
34,0.44558410501721396
35,0.1385422360175382
36,0.14004744750107753
37,0.3098743817764281
38,0.15208239782901578
39,0.14878067638812195
40,0.1447407966655932
41,0.1600611016230899
42,0.15244911583887968
43,0.13575312536697096
44,0.16120358874761903
45,0.13974923564214015
46,0.13663738673022988
47,0.1470961088384633
48,0.16315755926647818
49,0.14530385427929898
50,0.13309273796157597
51,0.15801800097607396
52,0.15094987999498988
53,0.14478976185288273
54,0.14003363756127638
55,0.14806392751148942
56,0.15184041687240726
57,0.1363271618044482
58,0.16041810208596383
59,0.14282508688222742
60,0.15775838772426046
61,0.15775838772426046
62,0.16168630964280492
63,0.16168630964280492
64,0.13693519629580841
65,0.13693519629580841
66,0.15272066488438607
67,0.15272066488438607
68,0.14188076486601997
69,0.14188076486601997
70,0.14453139003023174
71,0.14453139003023174
72,0.15636861387739381
73,0.15636861387739381
74,0.16301424711019588
75,0.16301424711019588
76,0.14259222869814095
77,0.14259222869814095
78,0.14871206042060622
79,0.14871206042060622
80,0.13375769782284602
81,0.13375769782284602
82,0.14999650541669182
83,0.14999650541669182
84,0.156719505106658
85,0.156719505106658
86,0.156719505106658
87,0.14058881281748345
88,0.14058881281748345
89,0.14058881281748345
90,0.1579843501499806
91,0.1579843501499806
92,0.1579843501499806
93,0.13835288099282994
94,0.13835288099282994
95,0.13835288099282994
96,0.1517378309906629
97,0.1517378309906629
98,0.1517378309906629
99,0.14411132008948907
100,0.14411132008948907
101,0.29200315759239326
102,0.14663669387462372
103,0.14663669387462372
104,0.14663669387462372
105,0.15538449982569177
106,0.15538449982569177
107,0.15538449982569177
108,0.14507806005279467
109,0.14507806005279467
110,0.14507806005279467
111,0.14507806005279467
112,0.2827015062004653
113,0.13452140797201767
114,0.13452140797201767
115,0.13452140797201767
116,0.15664026960979302
117,0.15664026960979302
118,0.31815159637038704
119,0.31815159637038704
120,0.15111143585103212
121,0.15111143585103212
122,0.15111143585103212
123,0.30848831096783325
124,0.16060426751186405
125,0.16060426751186405
126,0.16060426751186405
127,0.16060426751186405
128,0.13466987576316555
129,0.13466987576316555
130,0.13466987576316555
131,0.268787452719402
132,0.14259709274368929
133,0.14259709274368929
134,0.14259709274368929
135,0.14259709274368929
136,0.1404346513757317
137,0.1404346513757317
138,0.29140601087668316
139,0.29140601087668316
140,0.14622872717078336
141,0.14622872717078336
142,0.14622872717078336
143,0.14622872717078336
144,0.1354396850914914
145,0.2747400067274283
146,0.2747400067274283
147,0.2747400067274283
148,0.13431752056848997
149,0.13431752056848997
150,0.13431752056848997
151,0.13431752056848997
152,0.13253199630073353
153,0.13253199630073353
154,0.28262158977175955
155,0.28262158977175955
156,0.1443840980324545
157,0.1443840980324545
158,0.43899316031892444
159,0.43899316031892444
160,0.1453682320025493
161,0.1453682320025493
162,0.1453682320025493
163,0.1453682320025493
164,0.13531352426390214
165,0.13531352426390214
166,0.13531352426390214
167,0.13531352426390214
168,0.16166956491975812
169,0.16166956491975812
170,0.16166956491975812
171,0.16166956491975812
172,0.14838400054014741
173,0.14838400054014741
174,0.14838400054014741
175,0.14838400054014741
176,0.1586389013113546
177,0.1586389013113546
178,0.1586389013113546
179,0.1586389013113546
180,0.13775244166321118
181,0.13775244166321118
182,0.13775244166321118
183,0.13775244166321118
184,0.13332245369807058
185,0.13332245369807058
186,0.13332245369807058
187,0.13332245369807058
188,0.1380791974650305
189,0.274478372168545
190,0.274478372168545
191,0.14269117720161695
192,0.14269117720161695
193,0.14269117720161695
194,0.6225099010200617
195,0.7652010782216786
196,0.7652010782216786
197,0.43407597209261184
198,0.2949163044285326
199,1.34837310850167
200,0.15350359811993514
201,0.15350359811993514
202,0.15350359811993514
203,0.385811394671423
204,0.385811394671423
205,0.385811394671423
206,0.15112645403352595
207,0.15112645403352595
208,0.15112645403352595
209,0.16390397882086125
210,0.16390397882086125
211,0.16390397882086125
212,0.04090461196867235
213,0.2793819527885452
214,0.2793819527885452
215,0.2793819527885452
216,0.1588644247306708
217,0.1588644247306708
218,0.1588644247306708
219,0.1588644247306708
220,0.2884023661609711
221,0.2884023661609711
222,0.2884023661609711
223,0.2884023661609711
224,0.289826526288598
225,0.289826526288598
226,0.289826526288598
227,0.289826526288598
228,0.15417016150609927
229,0.15417016150609927
230,0.15417016150609927
231,0.15417016150609927
232,0.2910197031676274
233,0.2910197031676274
234,0.2910197031676274
235,0.15150471154790315
236,0.15150471154790315
237,0.15150471154790315
238,0.76835378540456
239,0.4727740584545358
240,0.76835378540456
241,0.16183493772725824
242,0.16183493772725824
243,0.16183493772725824
244,0.1393507837930037
245,0.1393507837930037
246,0.1393507837930037
247,0.13498267604316103
248,0.13498267604316103
249,0.44081520169373195
250,0.15657161386772503
251,0.15657161386772503
252,0.15657161386772503
253,0.16012575194414064
254,0.16012575194414064
255,0.32242210685685524
256,0.16458246327801998
257,0.2969042384636517
258,0.2969042384636517
259,0.1426751260857791
260,0.1426751260857791
261,0.16300313550516068
262,0.16300313550516068
263,0.14034567302123707
264,0.14034567302123707
265,0.15948355789411026
266,0.3005691393181635
267,0.1582688425800424
268,0.3116826080901281
269,0.16008986543204043
270,0.16008986543204043
271,0.15723924999230446
272,0.15723924999230446
273,0.1551592566427116
274,0.1551592566427116
275,0.1625107319174931
276,0.7467944091830137
277,1.3634750759581078
278,0.1327950783617341
279,0.1436349060831166
280,0.13596058583180096
281,0.08043191112940326
282,0.07986344757635166
283,0.08271529639136392
284,0.08713593578203875
285,0.09357538834196423
286,0.09326266697552123
287,0.08464914164906095
288,0.09127315648852768
289,0.07971297374767156
290,0.08534639834411885
291,0.0844986582928235
292,0.07884946445687561
293,0.08708711235419896
294,0.08090546425687463
295,0.08529837214847422
296,0.08630114948853637
297,0.09199827612811687
298,0.08310902468863274
299,0.09283229230037106
300,0.09248048543794282
301,0.08893955163525435
302,0.09064040194379706
303,0.09421477758402758
304,0.09409436512822057
305,0.07583881112278512
306,0.07886058418950072
307,0.0787917963404848
308,0.08032613218078476
309,0.08263227737691894
310,0.08036594018418315
311,0.08360571502350755
312,0.08371083839678269
313,0.08010105108132214
314,0.08510491739605985
315,0.07952320254420496
316,0.08602341323812292
317,0.08826672313051447
318,0.09011196110682884
319,0.07663823587758152
320,0.09386991551646467
321,0.08530779230236431
322,0.08679885797502232
323,0.171684491519386
324,0.08005970262815226
325,0.0920929773507014
326,0.08424307300453938
327,0.07673123373471942
328,0.08663090942057476
329,0.09047844754053319
330,0.08055569897645004
331,0.08774725776461276
332,0.09087854204420055
333,0.08664890772602045
334,0.08527489386517227
335,0.07833951084512926
336,0.08430741533858743
337,0.09297193764660158
338,0.08404955005263214
339,0.09038115587142119
340,0.0857059116735743
341,0.08299434771496027
342,0.08070501315664921
343,0.07654546592821712
344,0.0915715963174024
345,0.07637651914772503
346,0.08499866193276115
347,0.08055231281210436
348,0.07717503149216273
349,0.09479066050598102
350,0.07994802926095923
351,0.08243152183292456
352,0.08933234889425497
353,0.08819622266788923
354,0.08442703954034728
355,0.0903943598551266
356,0.08772060539588945
357,0.08808725588587743
358,0.08828340406489767
359,0.0837632094085112
360,0.0837632094085112
361,0.07758341761841354
362,0.07758341761841354
363,0.07690033328979294
364,0.07690033328979294
365,0.09327586964380115
366,0.09327586964380115
367,0.07934584976950038
368,0.07934584976950038
369,0.08935337068172956
370,0.08935337068172956
371,0.08183996215498808
372,0.08183996215498808
373,0.08914029362594414
374,0.08914029362594414
375,0.0772495625866032
376,0.0772495625866032
377,0.08201655831849303
378,0.08201655831849303
379,0.08410805665982028
380,0.08410805665982028
381,0.09232068811572215
382,0.09232068811572215
383,0.08768030063829539
384,0.08768030063829539
385,0.08896766846498583
386,0.08896766846498583
387,0.09317421170227637
388,0.09317421170227637
389,0.078683032155259
390,0.078683032155259
391,0.07702709698951073
392,0.07702709698951073
393,0.07841384591228255
394,0.07841384591228255
395,0.09206254159413908
396,0.09206254159413908
397,0.08205102534259912
398,0.08205102534259912
399,0.08704244976318967
400,0.08704244976318967
401,0.09383137009620743
402,0.09383137009620743
403,0.08414404715364063
404,0.08414404715364063
405,0.08414404715364063
406,0.09384331313263995
407,0.09384331313263995
408,0.09384331313263995
409,0.09309917726995395
410,0.09309917726995395
411,0.09309917726995395
412,0.08268407861306332
413,0.08268407861306332
414,0.08268407861306332
415,0.08149827310986757
416,0.08149827310986757
417,0.08149827310986757
418,0.07691862528149444
419,0.07691862528149444
420,0.07691862528149444
421,0.09427263408539881
422,0.09427263408539881
423,0.09427263408539881
424,0.08663672774141339
425,0.08663672774141339
426,0.08663672774141339
427,0.0831230280827467
428,0.0831230280827467
429,0.0831230280827467
430,0.08753710989257782
431,0.08753710989257782
432,0.08753710989257782
433,0.08522886137322466
434,0.08522886137322466
435,0.08522886137322466
436,0.08068052257060702
437,0.08068052257060702
438,0.08068052257060702
439,0.08246048077342286
440,0.08246048077342286
441,0.08246048077342286
442,0.08246048077342286
443,0.09156500288773711
444,0.09156500288773711
445,0.09156500288773711
446,0.09156500288773711
447,0.09211791731399296
448,0.09211791731399296
449,0.09211791731399296
450,0.09211791731399296
451,0.08678934990340713
452,0.08678934990340713
453,0.08678934990340713
454,0.08678934990340713
455,0.07875705330087239
456,0.07875705330087239
457,0.07875705330087239
458,0.07875705330087239
459,0.08959858484562053
460,0.08959858484562053
461,0.08959858484562053
462,0.08959858484562053
463,0.09445578281867578
464,0.09445578281867578
465,0.09445578281867578
466,0.09445578281867578
467,0.09059103044056686
468,0.09059103044056686
469,0.09059103044056686
470,0.09059103044056686
471,0.08276227915739148
472,0.08276227915739148
473,0.08276227915739148
474,0.08276227915739148
475,0.09159442795639919
476,0.09159442795639919
477,0.09159442795639919
478,0.09159442795639919
479,0.08313144390557337
480,0.08313144390557337
481,0.08313144390557337
482,0.08313144390557337
483,0.08289443479976454
484,0.08289443479976454
485,0.08289443479976454
486,0.08289443479976454
487,0.07768386542921628
488,0.07768386542921628
489,0.07768386542921628
490,0.07768386542921628
491,0.08233925070895716
492,0.08233925070895716
493,0.08233925070895716
494,0.08233925070895716
495,0.08070164595980382
496,0.08070164595980382
497,0.08070164595980382
498,0.08070164595980382
499,0.0911627741046775
500,0.0911627741046775
501,0.0911627741046775
502,0.0911627741046775
503,0.08166179756511643
504,0.08166179756511643
505,0.08166179756511643
506,0.08166179756511643
507,0.08451877520775668
508,0.08451877520775668
509,0.08451877520775668
510,0.08451877520775668
511,0.07714781703425322
512,0.07714781703425322
513,0.07714781703425322
514,0.07714781703425322
515,0.08234210963379238
