,vp
0,0.6816891833916584
1,0.6816891833916584
2,0.7109954534436544
3,0.7109954534436544
4,0.7109954534436544
5,0.7380580905868094
6,0.7380580905868094
7,0.7380580905868094
8,0.7613706732386654
9,0.7613706732386654
10,0.7613706732386654
11,0.784452731769104
12,0.784452731769104
13,0.784452731769104
14,0.8108023059002183
15,0.8108023059002183
16,0.8108023059002183
17,0.8328838880348721
18,0.8328838880348721
19,0.8328838880348721
20,0.8328838880348721
21,0.8594234301870469
22,0.8594234301870469
23,0.8594234301870469
24,0.8594234301870469
25,0.8758464375364424
26,0.8758464375364424
27,0.8758464375364424
28,0.8758464375364424
29,0.8769555494643966
30,0.8769555494643966
31,0.8769555494643966
32,0.8769555494643966
33,0.8769555494643966
34,0.8746374945614106
35,0.8746374945614106
36,0.8746374945614106
37,0.8746374945614106
38,0.8746374945614106
39,0.8749084899563566
40,0.8749084899563566
41,0.8749084899563566
42,0.8749084899563566
43,0.8749084899563566
44,0.8751391991702232
45,0.8751391991702232
46,0.8751391991702232
47,0.8751391991702232
48,0.8751391991702232
49,0.8773122930957037
50,0.8773122930957037
51,0.8773122930957037
52,0.8745200543642422
53,0.8745200543642422
54,0.8777198497571809
55,0.8777198497571809
56,0.8764392342537387
57,0.8764392342537387
58,0.8779271579671576
59,0.8779271579671576
60,0.8765629560180078
61,0.8765629560180078
62,0.8773286560181516
63,0.8753570653792316
64,0.8771448553602015
65,0.8726424412053244
66,0.5504989585025716
67,0.5504989585025716
68,0.5716229241548981
69,0.5716229241548981
70,0.5716229241548981
71,0.5716229241548981
72,0.5962428243152488
73,0.5962428243152488
74,0.5962428243152488
75,0.5962428243152488
76,0.5962428243152488
77,0.6206164636742528
78,0.6206164636742528
79,0.6206164636742528
80,0.6206164636742528
81,0.6206164636742528
82,0.6418816052991964
83,0.6418816052991964
84,0.6418816052991964
85,0.6418816052991964
86,0.6418816052991964
87,0.6660866052375004
88,0.6660866052375004
89,0.6660866052375004
90,0.6660866052375004
91,0.6660866052375004
92,0.6921743951154665
93,0.6921743951154665
94,0.6921743951154665
95,0.6921743951154665
96,0.6921743951154665
97,0.6454971900062603
98,0.6454971900062603
99,0.6454971900062603
100,0.6454971900062603
101,0.6454971900062603
102,0.6774925600550816
103,0.6774925600550816
104,0.6774925600550816
105,0.6774925600550816
106,0.6774925600550816
107,0.7009330118811691
108,0.7009330118811691
109,0.7009330118811691
110,0.7009330118811691
111,0.7009330118811691
112,0.7238390166646129
113,0.7238390166646129
114,0.7238390166646129
115,0.7238390166646129
116,0.7238390166646129
117,0.7461334638159344
118,0.7461334638159344
119,0.7461334638159344
120,0.7461334638159344
121,0.7461334638159344
122,0.7721753456991349
123,0.7721753456991349
124,0.7721753456991349
125,0.7721753456991349
126,0.7721753456991349
127,0.7924869503022188
128,0.7924869503022188
129,0.7924869503022188
130,0.7924869503022188
131,0.7924869503022188
132,0.8120862342942959
133,0.8120862342942959
134,0.8120862342942959
135,0.8120862342942959
136,0.8120862342942959
137,0.8131993904807522
138,0.8131993904807522
139,0.8131993904807522
140,0.8131993904807522
141,0.8131993904807522
142,0.8115031854924917
143,0.8115031854924917
144,0.8115031854924917
145,0.812401741991174
146,0.812401741991174
147,0.812437729828585
148,0.812437729828585
149,0.812437729828585
150,0.8115172862127358
151,0.8115172862127358
152,0.8115172862127358
153,0.8109262145246258
154,0.8109262145246258
155,0.8109262145246258
156,0.8108274954367176
157,0.8108274954367176
158,0.8108274954367176
159,0.8102824029943271
160,0.8102824029943271
161,0.8102824029943271
162,0.8124497015094444
163,0.8124497015094444
164,0.8124497015094444
165,0.8124497015094444
166,0.8110085790834674
167,0.8110085790834674
168,0.8110085790834674
169,0.8110085790834674
170,0.8126661341996805
171,0.8126661341996805
172,0.8126661341996805
173,0.8126661341996805
174,0.8126661341996805
175,0.8126661341996805
176,0.8113577194782355
177,0.8113577194782355
178,0.8113577194782355
179,0.8113577194782355
180,0.8113577194782355
181,0.8113577194782355
182,0.8143081762374396
183,0.8143081762374396
184,0.8143081762374396
185,0.8143081762374396
186,0.8143081762374396
187,0.8143081762374396
188,0.8106699056665407
189,0.8106699056665407
190,0.8106699056665407
191,0.8106699056665407
192,0.8106699056665407
193,0.8106699056665407
194,0.8106699056665407
195,0.8106699056665407
196,0.8132151805739378
197,0.8132151805739378
198,0.8132151805739378
199,0.8132151805739378
200,0.8132151805739378
201,0.8132151805739378
202,0.8132151805739378
203,0.8132151805739378
204,0.8129350704963748
205,0.8129350704963748
206,0.8129350704963748
207,0.8129350704963748
208,0.8129350704963748
209,0.8129350704963748
210,0.8129350704963748
211,0.8089947033236536
212,0.8089947033236536
213,0.8089947033236536
214,0.8089947033236536
215,0.8089947033236536
216,0.8089947033236536
217,0.8112960800570538
218,0.8112960800570538
219,0.8112960800570538
220,0.8112960800570538
221,0.8112960800570538
222,0.809407615962692
223,0.809407615962692
224,0.809407615962692
225,0.809407615962692
226,0.809407615962692
227,0.8122651407268275
228,0.8122651407268275
229,0.8122651407268275
230,0.8122651407268275
231,0.8122651407268275
232,0.8099571890262388
233,0.8099571890262388
234,0.8099571890262388
235,0.8099571890262388
236,0.8099571890262388
237,0.8106115768935435
238,0.8106115768935435
239,0.8106115768935435
240,0.8106115768935435
241,0.8106115768935435
242,0.8101245161669064
243,0.8101245161669064
244,0.8101245161669064
245,0.8101245161669064
246,0.8101245161669064
247,0.8108360474258479
248,0.8108360474258479
249,0.8108360474258479
250,0.8108360474258479
251,0.808777595321325
252,0.808777595321325
253,0.808777595321325
254,0.810761056906324
255,0.810761056906324
256,0.7919898829615286
257,0.7929602658996411
258,0.8041943660555579
259,0.6870469986551938
260,0.5793352657322043
261,0.4768470594076587
262,0.38489952891442336
263,0.3030185083272973
264,0.23120748998714283
265,0.17209905791666907
266,0.12288962039515995
267,0.08514832715271868
268,0.0589075688348144
269,0.04217308121627316
270,0.02766402693675637
271,0.017692110070131304
272,0.012229939850843143
273,0.007847803714073528
274,0.005344058262886121
275,0.003446106166968535
276,0.0023567341332193983
277,0.0015412074536860713
278,0.0009844287943662903
279,0.0006638936647349353
280,0.00043748736435122147
281,0.000302328468875065
282,0.0001929912451463691
283,0.00013261674009633757
284,8.472918494229831e-05
285,5.815788342267895e-05
286,3.7981049993064966e-05
287,2.4759366030638475e-05
288,1.64986039154326e-05
289,1.0863995564228615e-05
290,7.501696115311038e-06
291,4.846072025798627e-06
292,3.3066239588521788e-06
293,2.1126254631923045e-06
294,1.4517241314176056e-06
295,0.6758992289160055
296,2.072868877581835
297,2.1428879206387643
298,2.1428879206387643
299,2.9408602922218936
300,2.9408602922218936
301,2.9408602922218936
302,1.5254899184913233
303,1.5254899184913233
304,1.5254899184913233
305,0.7911460571177434
306,0.7911460571177434
307,0.7911460571177434
308,0.7911460571177434
309,0.7911460571177434
310,0.8160029747177682
311,0.8160029747177682
312,0.8160029747177682
313,0.8160029747177682
314,0.8160029747177682
315,2.5011018516955774
316,2.5011018516955774
317,2.5011018516955774
318,2.5011018516955774
319,2.5011018516955774
320,2.566619769532265
321,2.566619769532265
322,2.566619769532265
323,2.566619769532265
324,2.566619769532265
325,1.71286680876568
326,1.71286680876568
327,1.71286680876568
328,1.71286680876568
329,1.71286680876568
330,1.7127982977109648
331,1.7127982977109648
332,1.7127982977109648
333,1.7127982977109648
334,1.7127982977109648
335,1.7120245852712486
336,1.7120245852712486
337,1.7120245852712486
338,1.7120245852712486
339,1.7120245852712486
340,2.5677705684691574
341,2.5677705684691574
342,2.5677705684691574
343,2.5677705684691574
344,2.5677705684691574
345,1.7131479271959533
346,1.7131479271959533
347,1.7131479271959533
348,1.7131479271959533
349,1.7131479271959533
350,1.7131479271959533
351,3.425813700376144
352,3.425813700376144
353,3.425813700376144
354,3.425813700376144
355,3.425813700376144
356,0.8556245961897831
357,0.8556245961897831
358,0.8556245961897831
359,0.8556245961897831
360,0.8556245961897831
361,0.8556245961897831
362,0.855917874089752
363,0.855917874089752
364,0.855917874089752
365,0.855917874089752
366,0.855917874089752
367,0.855917874089752
368,0.855917874089752
369,2.572192304419869
370,2.572192304419869
371,2.572192304419869
372,2.572192304419869
373,2.572192304419869
374,2.572192304419869
375,1.715352680307762
376,1.715352680307762
377,1.715352680307762
378,1.715352680307762
379,1.715352680307762
380,1.715352680307762
381,1.7099938301392001
382,1.7099938301392001
383,1.7099938301392001
384,1.7099938301392001
385,1.7099938301392001
386,1.7129092334282767
387,1.7129092334282767
388,1.7129092334282767
389,1.7129092334282767
390,1.7129092334282767
391,0.8546378702610575
392,0.8546378702610575
