,pv
0,0.19713617743790607
1,0.19713617743791628
2,0.39427235487591394
3,0.591408532313861
4,0.39427235487594364
5,0.3942723548759174
6,0.19713617743790676
7,0.19713617743794012
8,0.19713617743795275
9,0.19713617743792344
10,0.3942723548759144
11,0.19713617743794773
12,0.19713617743792194
13,0.1971361774379755
14,0.1971361774379751
15,0.39427235487583595
16,0.1971361774378604
17,0.394272354875889
18,0.3942723548759397
19,0.1971361774379261
20,0.197136177438014
21,0.39427235487585094
22,0.39427235487595413
23,0.3942723548759428
24,0.1971361774378685
25,0.19713617743795664
26,0.3942723548758727
27,0.3942723548759155
28,0.3942723548759155
29,0.1971361774379899
30,0.1971361774379899
31,0.5914085323138714
32,0.5914085323138714
33,0.3942723548759263
34,0.3942723548759263
35,0.7885447097518167
36,0.7885447097518167
37,0.1971361774379648
38,0.1971361774379648
39,0.3942723548759154
40,0.19713617743797324
41,0.19713617743795936
42,0.19713617743795936
43,0.39427235487589424
44,0.39427235487589424
45,0.1971361774379293
46,0.39427235487592943
47,0.39427235487592943
48,0.39427235487582524
49,0.39427235487582524
50,0.5914085323138674
51,0.5914085323138674
52,0.5914085323138674
53,0.3942723548758631
54,0.3942723548758631
55,0.3942723548758631
56,0.19713617743799058
57,0.19713617743799058
58,0.19713617743799058
59,0.1971361774379807
60,0.1971361774379807
61,0.1971361774379807
62,0.19713617743793058
63,0.19713617743793058
64,0.19713617743793058
65,0.3942723548759006
66,0.3942723548759006
67,0.3942723548759006
68,0.39427235487594753
69,0.39427235487594753
70,0.39427235487594753
71,0.5914085323138649
72,0.19713617743797743
73,0.19713617743797743
74,0.39427235487588713
75,0.19713617743791675
76,0.19713617743791675
77,0.1971361774378943
78,0.1971361774378943
79,0.1971361774378943
80,0.1971361774380008
81,0.1971361774380008
82,0.1971361774380008
83,0.788544709751798
84,0.39427235487587065
85,0.39427235487587065
86,0.39427235487587065
87,0.3942723548759448
88,0.3942723548759448
89,0.3942723548759448
90,0.3942723548759448
91,0.19713617743797812
92,0.19713617743797812
93,0.19713617743797812
94,0.19713617743797812
95,0.1971361774379051
96,0.1971361774379051
97,0.1971361774379051
98,0.1971361774379051
99,0.5914085323138726
100,0.39427235487588874
101,0.39427235487588874
102,0.39427235487588874
103,0.394272354875912
104,0.394272354875912
105,0.394272354875912
106,0.394272354875912
107,0.39427235487595175
108,0.39427235487595175
109,0.39427235487595175
110,0.39427235487595175
111,0.19713617743791512
112,0.19713617743791512
113,0.19713617743791512
114,0.19713617743791512
115,0.5914085323138305
116,0.3942723548758686
117,0.3942723548758686
118,0.3942723548758686
119,0.39427235487591267
120,0.39427235487591267
121,0.39427235487591267
122,0.39427235487591267
123,0.3942723548758816
124,0.3942723548758816
125,0.3942723548758816
126,0.3942723548758816
127,0.3942723548759255
128,0.3942723548759255
129,0.3942723548759255
130,0.3942723548759255
131,0.19713617743796555
132,0.19713617743796555
133,0.19713617743796555
134,0.19713617743796555
135,0.39427235487595175
136,0.39427235487595175
137,0.39427235487595175
138,0.39427235487595175
139,0.39427235487590623
140,0.39427235487590623
141,0.39427235487590623
142,0.39427235487590623
143,0.39427235487594015
144,0.39427235487594015
145,0.39427235487594015
146,0.39427235487594015
147,0.39427235487592105
148,0.39427235487592105
149,0.39427235487592105
150,0.39427235487592105
151,0.19713617743793005
152,0.19713617743793005
153,0.19713617743793005
154,0.19713617743793005
155,0.19713617743796322
156,0.19713617743796322
157,0.19713617743796322
158,0.19713617743796322
159,0.19713617743793196
160,0.19713617743793196
161,0.19713617743793196
162,0.19713617743793196
163,0.39427235487591394
164,0.39427235487591394
165,0.39427235487591394
166,0.39427235487591394
167,0.1971361774379388
168,0.1971361774379388
169,0.1971361774379388
170,0.1971361774379388
171,0.39427235487585405
172,0.39427235487585405
173,0.39427235487585405
174,0.39427235487585405
175,0.1971361774379573
176,0.1971361774379573
177,0.1971361774379573
178,0.1971361774379573
179,0.3942723548759456
180,0.3942723548759456
181,0.3942723548759456
182,0.3942723548759456
183,0.3942723548758915
184,0.3942723548758915
185,0.3942723548758915
186,0.3942723548759732
187,0.3942723548759732
188,0.3942723548759732
189,0.39427235487593676
190,0.39427235487593676
191,0.39427235487593676
192,0.39427235487587037
193,0.39427235487587037
194,0.39427235487587037
195,0.19713617743790646
196,0.19713617743790646
197,0.19713617743790646
198,0.39427235487597945
199,0.39427235487597945
200,0.39427235487597945
201,0.39427235487595297
202,0.39427235487595297
203,0.39427235487595297
204,0.39427235487589324
205,0.39427235487589324
206,0.39427235487589324
207,0.3942723548758903
208,0.3942723548758903
209,0.3942723548758903
210,0.3942723548758903
211,0.39427235487590623
212,0.39427235487590623
213,0.39427235487590623
214,0.39427235487590623
215,0.7885447097517875
216,0.39427235487589374
217,0.39427235487589374
218,0.39427235487589374
219,0.39427235487590057
220,0.39427235487590057
221,0.39427235487590057
222,0.39427235487590057
223,0.1971361774379915
224,0.1971361774379915
225,0.1971361774379915
226,0.3942723548759033
227,0.3942723548759033
228,0.3942723548759033
229,0.3942723548759646
230,0.3942723548759646
231,0.3942723548759646
232,0.19713617743796769
233,0.19713617743796769
234,0.19713617743796769
235,0.19713617743792974
236,0.19713617743792974
237,0.19713617743792974
238,0.19713617743792947
239,0.19713617743792947
240,0.19713617743792947
241,0.1971361774379487
242,0.1971361774379487
243,0.1971361774379487
244,0.1971361774380099
245,0.1971361774380099
246,0.1971361774380099
247,0.3942723548758902
248,0.3942723548758902
249,0.3942723548758902
250,0.3942723548759406
251,0.3942723548759406
252,0.3942723548759406
253,0.3942723548759406
254,0.3942723548758944
255,0.3942723548758944
256,0.3942723548758944
257,0.3942723548758944
258,0.3942723548759117
259,0.3942723548759117
260,0.3942723548759117
261,0.3942723548759117
262,0.19713617743790462
263,0.19713617743790462
264,0.19713617743790462
265,0.39427235487586815
266,0.39427235487586815
267,0.39427235487586815
268,0.39427235487591117
269,0.39427235487591117
270,0.39427235487591117
271,0.3942723548758869
272,0.3942723548758869
273,0.3942723548758869
274,0.3942723548758585
275,0.3942723548758585
276,0.3942723548758585
277,0.3942723548759642
278,0.3942723548759642
279,0.3942723548759642
280,0.3942723548759072
281,0.3942723548759072
282,0.3942723548759072
283,0.3942723548759072
284,0.39427235487586426
285,0.39427235487586426
286,0.39427235487586426
287,0.1971361774378649
288,0.1971361774378649
289,0.1971361774378649
290,0.19713617743798978
291,0.19713617743798978
292,0.19713617743798978
293,0.19713617743792633
294,0.19713617743792633
295,0.19713617743792633
296,0.39427235487587603
297,0.39427235487587603
298,0.19713617743793005
299,0.19713617743793005
300,0.19713617743793005
301,0.7885447097518269
302,0.39427235487593204
303,0.39427235487593204
304,0.5914085323139096
305,0.3942723548759322
306,0.3942723548759322
307,0.39427235487589435
308,0.39427235487589435
309,0.39427235487589435
310,0.3942723548759
311,0.3942723548759
312,0.3942723548759
313,0.39427235487593376
314,0.39427235487593376
315,0.39427235487593376
316,0.19713617743800554
317,0.19713617743800554
318,0.19713617743800554
319,0.39427235487592627
320,0.19713617743798892
321,0.19713617743798892
322,0.19713617743798892
323,0.7885447097518394
324,0.7885447097518394
325,0.19713617743792325
326,0.19713617743792325
327,0.39427235487589346
328,0.39427235487589346
329,0.39427235487589346
330,0.19713617743799491
331,0.19713617743799491
332,0.19713617743799491
333,0.39427235487589857
334,0.39427235487589857
335,0.39427235487589857
336,0.19713617743799494
337,0.19713617743799494
338,0.19713617743799494
339,0.7885447097518105
340,0.39427235487590523
341,0.39427235487590523
342,0.19713617743799078
343,0.19713617743799078
344,0.19713617743799078
345,0.19713617743797104
346,0.19713617743797104
347,0.19713617743797104
348,0.7885447097517926
349,0.3942723548758518
350,0.3942723548758518
351,0.3942723548758518
352,0.5914085323138562
353,0.5914085323138562
354,0.5914085323138562
355,0.3942723548758747
356,0.3942723548758747
357,0.3942723548758747
358,0.5914085323138776
359,0.5914085323138776
360,0.39427235487593837
361,0.3942723548759164
362,0.3942723548759164
363,0.3942723548759164
364,0.19713617743801268
365,0.19713617743801268
366,0.19713617743801268
367,0.39427235487590945
368,0.39427235487590945
369,0.5914085323138555
370,0.39427235487586976
371,0.39427235487586976
372,0.3942723548759401
373,0.3942723548759401
374,0.39427235487592444
375,0.39427235487592444
376,0.39427235487595097
377,0.39427235487595097
378,0.3942723548759502
379,0.1971361774379525
380,0.3942723548759106
381,0.1971361774380289
382,0.3942723548759704
383,0.1971361774379446
384,0.39427235487592593
385,0.5914085323138789
386,0.7885447097518241
387,0.3942723548759137
388,0.3942723548759137
389,0.19713617743799955
390,0.19713617743799955
391,0.19713617743790668
392,0.19713617743790668
393,0.3942723548759242
394,0.3942723548759242
395,0.39427235487594636
396,0.7885447097518146
397,0.19713617743804307
398,0.19713617743804307
399,0.19713617743789308
400,0.19713617743789308
401,0.19713617743800488
402,0.19713617743800488
403,0.19713617743798892
404,0.19713617743798892
405,0.1971361774378761
406,0.1971361774378761
407,0.19713617743804537
408,0.19713617743804537
409,0.19713617743796688
410,0.19713617743796688
411,0.19713617743796688
412,0.1971361774379086
413,0.1971361774379086
414,0.1971361774379086
415,0.19713617743792816
416,0.19713617743792816
417,0.19713617743792816
418,0.19713617743800646
419,0.19713617743800646
420,0.19713617743800646
421,0.17111532484766945
422,0.17111532484773695
423,0.17111532484772357
424,0.17111532484770497
425,0.17111532484770497
426,0.17111532484764408
427,0.17111532484767658
428,0.17111532484768494
429,0.17111532484768494
430,0.17111532484770658
431,0.17111532484770658
432,0.17111532484768927
433,0.17111532484768927
434,0.17111532484765593
435,0.17111532484765593
436,0.17111532484764738
437,0.17111532484764738
438,0.3422306496953541
439,0.3422306496953541
440,0.1711153248476519
441,0.17111532484763756
442,0.171115324847601
443,0.17111532484771488
444,0.17111532484771488
445,0.1711153248477723
446,0.17111532484772077
447,0.17111532484764502
448,0.1711153248476349
449,0.1711153248476349
450,0.17111532484760136
451,0.17111532484760136
452,0.1711153248477122
453,0.1711153248476224
454,0.1711153248477109
455,0.17111532484768865
456,0.17111532484774408
457,0.17111532484766423
458,0.171115324847695
459,0.17111532484766273
460,0.17111532484766273
461,0.17111532484773007
462,0.17111532484773007
463,0.17111532484765818
464,0.17111532484765818
465,0.3422306496953675
466,0.17111532484768374
467,0.17111532484760134
468,0.17111532484760134
469,0.17111532484771866
470,0.17111532484771866
471,0.17111532484770967
472,0.17111532484770967
473,0.34223064969540923
474,0.17111532484775321
475,0.17111532484771155
476,0.17111532484771155
477,0.17111532484767283
478,0.17111532484776565
479,0.1711153248476994
480,0.1711153248477164
481,0.17111532484762318
482,0.1711153248476385
483,0.1711153248476726
484,0.1711153248476425
485,0.1711153248477252
486,0.17981851149211736
487,0.1798185114921169
488,0.1798185114921676
489,0.1798185114921189
490,0.1798185114921708
491,0.17981851149204767
492,0.17981851149217945
493,0.1798185114920934
494,0.35963702298420475
495,0.17981851149210826
496,0.17981851149205688
497,0.17981851149209624
498,0.17981851149207317
499,0.17981851149199526
500,0.1798185114921648
501,0.3596370229842162
502,0.35963702298415445
503,0.17981851149208156
504,0.17981851149213687
505,0.17981851149211836
506,0.35963702298415395
507,0.359637022984187
508,0.179818511492137
509,0.17981851149213712
510,0.7192740459683848
511,0.17981851149214978
512,0.17981851149211897
513,0.17981851149204606
514,0.17981851149204633
515,0.17981851149214545
516,0.35963702298417977
517,0.17981851149210373
518,0.17981851149209804
519,0.17981851149210937
520,0.17981851149209743
521,0.1798185114921872
522,0.17981851149211212
523,0.3596370229842338
524,0.17981851149213496
525,0.17981851149210756
526,0.17981851149206143
527,0.17981851149214406
528,0.17981851149211164
529,0.17981851149209951
530,0.1798185114920916
531,0.17981851149207
532,0.17981851149214512
533,0.17981851149205555
534,0.3596370229841774
535,0.17981851149207928
536,0.1798185114921511
537,0.17981851149213957
538,0.17981851149211311
539,0.17981851149205103
540,0.1798185114920571
541,0.17981851149212033
542,0.17981851149207106
543,0.17981851149213307
544,0.35963702298416245
545,0.7192740459683528
546,0.17981851149206857
547,0.17981851149209457
548,0.17981851149209457
549,0.17981851149209552
550,0.17981851149209552
551,0.17981851149209274
552,0.17981851149209274
553,0.17981851149213426
554,0.17981851149213426
555,0.1798185114920778
556,0.1798185114920778
557,0.1798185114920778
558,0.1798185114921185
559,0.1798185114921185
560,0.1798185114921185
561,0.17981851149207492
562,0.17981851149207492
563,0.17981851149207492
564,0.1798185114920338
565,0.1798185114920338
566,0.3596370229841427
567,0.17981851149213657
568,0.17981851149213657
569,0.17981851149213657
570,0.17981851149200398
571,0.17981851149200398
572,0.17981851149200398
573,0.17981851149205796
574,0.17981851149205796
575,0.17981851149205796
576,0.17981851149206105
577,0.17981851149206105
578,0.17981851149206105
579,0.17981851149206105
580,0.1798185114921053
581,0.1798185114921053
582,0.1798185114921053
583,0.1798185114921053
584,0.1798185114920864
585,0.1798185114920864
586,0.1798185114920864
587,0.1798185114920864
588,0.17981851149212777
589,0.17981851149212777
590,0.17981851149212777
591,0.35963702298415384
592,0.35963702298415384
593,0.17981851149205744
594,0.17981851149214753
595,0.17981851149214753
596,0.17981851149214753
597,0.17981851149208697
