id,run_id,"('Parameter', 'dummy', 'number_of_agents_mean')","('Parameter', 'omnet', '*.radioMedium.obstacleLoss.typename')","('Parameter', 'omnet', '*.station[0].app[0].incidentTime')","('Parameter', 'omnet', '*.traci.launcher.seed')","('Parameter', 'omnet', '*.traci.launcher.useVadereSeed')","('Parameter', 'omnet', 'seed-set')","('Parameter', 'omnet', 'sim-time-limit')","('Parameter', 'vadere', 'sources.[id==1].distributionParameters')","('Parameter', 'vadere', 'sources.[id==2].distributionParameters')","('Parameter', 'vadere', 'sources.[id==5].distributionParameters')","('Parameter', 'vadere', 'sources.[id==6].distributionParameters')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
0,0,15,DielectricObstacleLoss,100s,3708,false,96,180s,[0.0375],[0.0375],[0.0375],[0.0375],36.25353813171387,0
1,0,20,DielectricObstacleLoss,100s,22244,false,71,180s,[0.05],[0.05],[0.05],[0.05],34.93415069580078,0
