id,run_id,"('Parameter', 'omnet', '*.misc[0].app[0].incidentTime')","('Parameter', 'omnet', '*.misc[0].app[0].messageLength')","('Parameter', 'omnet', '*.radioMedium.obstacleLoss.typename')","('Parameter', 'omnet', '*.traci.launcher.seed')","('Parameter', 'omnet', '*.traci.launcher.useVadereSeed')","('Parameter', 'omnet', 'seed-set')","('Parameter', 'omnet', 'sim-time-limit')","('Parameter', 'vadere', 'sources.[id==1].distributionParameters.numberPedsPerSecond')","('Parameter', 'vadere', 'sources.[id==2].distributionParameters.numberPedsPerSecond')","('Parameter', 'vadere', 'sources.[id==5].distributionParameters.numberPedsPerSecond')","('Parameter', 'vadere', 'sources.[id==6].distributionParameters.numberPedsPerSecond')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
0,0,100s,1448B,DielectricObstacleLoss,26629,false,136,180s,0.06767564402312494,0.06767564402312494,0.06767564402312494,0.06767564402312494,96.9000792503357,0
1,0,100s,603B,DielectricObstacleLoss,42797,false,197,180s,0.16767564402312496,0.16767564402312496,0.16767564402312496,0.16767564402312496,97.41956114768982,0
