#+proj=utm +zone=32 +ellps=WGS84 +datum=WGS84 +units=m +no_defs
,geometry,base_x,base_y,utm_x,utm_y,lon,lat
0,POINT (11.56638560389425 48.15462103910422),1454.9992412592476,2066.244873046875,690861.1242412593,5336671.244873047,11.566385603894245,48.15462103910422
1,POINT (11.5777930442477 48.14986663567277),2321.024645043686,1566.244873046875,691727.1496450437,5336171.244873047,11.577793044247699,48.14986663567277
2,POINT (11.58965079832681 48.15409888684261),3187.050048828125,2066.244873046875,692593.1750488281,5336671.244873047,11.589650798326808,48.15409888684261
3,POINT (11.60105587988402 48.14934221329673),4053.075452612564,1566.244873046875,693459.2004526126,5336171.244873047,11.601055879884015,48.14934221329673
4,POINT (11.61291532782347 48.15357202999324),4919.100856397003,2066.244873046875,694325.225856397,5336671.244873047,11.612915327823474,48.153572029993235
5,POINT (11.56683422065169 48.16360893860828),1454.9992412592476,3066.244873046875,690861.1242412593,5337671.244873047,11.566834220651689,48.16360893860828
6,POINT (11.57824357862865 48.15885446213735),2321.024645043686,2566.244873046875,691727.1496450437,5337171.244873047,11.578243578628646,48.15885446213735
7,POINT (11.59010347091778 48.16308662259718),3187.050048828125,3066.244873046875,692593.1750488281,5337671.244873047,11.590103470917775,48.163086622597184
8,POINT (11.60151046890154 48.15832987530432),4053.075452612564,2566.244873046875,693459.2004526126,5337171.244873047,11.60151046890154,48.15832987530432
9,POINT (11.61337205583343 48.1625596005263),4919.100856397003,3066.244873046875,694325.225856397,5337671.244873047,11.613372055833432,48.1625596005263
10,POINT (11.56728305721126 48.17259682083693),1454.9992412592476,4066.244873046875,690861.1242412593,5338671.244873047,11.567283057211258,48.17259682083693
11,POINT (11.57869433373367 48.16784227129901),2321.024645043686,3566.244873046875,691727.1496450437,5338171.244873047,11.578694333733667,48.16784227129901
12,POINT (11.59055636529225 48.17207434101956),3187.050048828125,4066.244873046875,692593.1750488281,5338671.244873047,11.590556365292255,48.17207434101956
13,POINT (11.60196528062373 48.16731751995195),4053.075452612564,3566.244873046875,693459.2004526126,5338171.244873047,11.60196528062373,48.16731751995195
14,POINT (11.61382900760794 48.17154715366985),4919.100856397003,4066.244873046875,694325.225856397,5338671.244873047,11.613829007607936,48.17154715366985
