id,run_id,"('Parameter', 'dummy_var', 'condition')","('Parameter', 'dummy_var', 'statistic')","('Parameter', 'vadere', 'fixedSeed')","('Parameter', 'vadere', 'routeChoices.[instruction==""use target 11""].targetProbabilities')","('Parameter', 'vadere', ""routeChoices.[instruction=='use target 21'].targetProbabilities"")","('Parameter', 'vadere', 'routeChoices.[instruction==use target 31].targetProbabilities')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
35,0,A4,Fans,74895,"[1.0, 0.0, 0.0]","[0.73, 0.27, 0.0]","[0.38, 0.34, 0.27]",209.91864895820618,0
36,0,A4,Fans,4271,"[1.0, 0.0, 0.0]","[0.73, 0.27, 0.0]","[0.38, 0.34, 0.27]",204.63344144821167,0
37,0,A4,Fans,56216,"[1.0, 0.0, 0.0]","[0.73, 0.27, 0.0]","[0.38, 0.34, 0.27]",207.67348742485046,0
38,0,A4,Fans,63251,"[1.0, 0.0, 0.0]","[0.73, 0.27, 0.0]","[0.38, 0.34, 0.27]",173.59823155403137,0
39,0,A4,Fans,75772,"[1.0, 0.0, 0.0]","[0.73, 0.27, 0.0]","[0.38, 0.34, 0.27]",206.04586505889893,0
40,0,B1,Students,74895,"[1.0, 0.0, 0.0]","[0.6799999999999999, 0.32, 0.0]","[0.39, 0.29, 0.32]",204.5012834072113,0
41,0,B1,Students,4271,"[1.0, 0.0, 0.0]","[0.6799999999999999, 0.32, 0.0]","[0.39, 0.29, 0.32]",204.36457920074463,0
42,0,B1,Students,56216,"[1.0, 0.0, 0.0]","[0.6799999999999999, 0.32, 0.0]","[0.39, 0.29, 0.32]",198.7722818851471,0
43,0,B1,Students,63251,"[1.0, 0.0, 0.0]","[0.6799999999999999, 0.32, 0.0]","[0.39, 0.29, 0.32]",210.91800737380981,0
44,0,B1,Students,75772,"[1.0, 0.0, 0.0]","[0.6799999999999999, 0.32, 0.0]","[0.39, 0.29, 0.32]",203.8460237979889,0
45,0,B1,Fans,74895,"[1.0, 0.0, 0.0]","[0.65, 0.35, 0.0]","[0.33, 0.31, 0.35]",205.1937849521637,0
46,0,B1,Fans,4271,"[1.0, 0.0, 0.0]","[0.65, 0.35, 0.0]","[0.33, 0.31, 0.35]",203.44294381141663,0
47,0,B1,Fans,56216,"[1.0, 0.0, 0.0]","[0.65, 0.35, 0.0]","[0.33, 0.31, 0.35]",202.49244379997253,0
48,0,B1,Fans,63251,"[1.0, 0.0, 0.0]","[0.65, 0.35, 0.0]","[0.33, 0.31, 0.35]",198.98216915130615,0
49,0,B1,Fans,75772,"[1.0, 0.0, 0.0]","[0.65, 0.35, 0.0]","[0.33, 0.31, 0.35]",198.51765966415405,0
50,0,B2,Students,74895,"[1.0, 0.0, 0.0]","[0.6699999999999999, 0.33, 0.0]","[0.4, 0.27, 0.33]",203.04651308059692,0
51,0,B2,Students,4271,"[1.0, 0.0, 0.0]","[0.6699999999999999, 0.33, 0.0]","[0.4, 0.27, 0.33]",179.98566126823425,0
52,0,B2,Students,56216,"[1.0, 0.0, 0.0]","[0.6699999999999999, 0.33, 0.0]","[0.4, 0.27, 0.33]",204.07504725456238,0
53,0,B2,Students,63251,"[1.0, 0.0, 0.0]","[0.6699999999999999, 0.33, 0.0]","[0.4, 0.27, 0.33]",182.20101618766785,0
54,0,B2,Students,75772,"[1.0, 0.0, 0.0]","[0.6699999999999999, 0.33, 0.0]","[0.4, 0.27, 0.33]",204.09347224235535,0
55,0,B2,Fans,74895,"[1.0, 0.0, 0.0]","[0.6599999999999999, 0.34, 0.0]","[0.35, 0.31, 0.34]",178.69559860229492,0
56,0,B2,Fans,4271,"[1.0, 0.0, 0.0]","[0.6599999999999999, 0.34, 0.0]","[0.35, 0.31, 0.34]",198.72967267036438,0
57,0,B2,Fans,56216,"[1.0, 0.0, 0.0]","[0.6599999999999999, 0.34, 0.0]","[0.35, 0.31, 0.34]",182.5913143157959,0
58,0,B2,Fans,63251,"[1.0, 0.0, 0.0]","[0.6599999999999999, 0.34, 0.0]","[0.35, 0.31, 0.34]",201.93844866752625,0
59,0,B2,Fans,75772,"[1.0, 0.0, 0.0]","[0.6599999999999999, 0.34, 0.0]","[0.35, 0.31, 0.34]",172.2525134086609,0
60,0,B3,Students,74895,"[1.0, 0.0, 0.0]","[0.6699999999999999, 0.33, 0.0]","[0.37, 0.29, 0.33]",185.89112854003906,0
61,0,B3,Students,4271,"[1.0, 0.0, 0.0]","[0.6699999999999999, 0.33, 0.0]","[0.37, 0.29, 0.33]",171.13282918930054,0
62,0,B3,Students,56216,"[1.0, 0.0, 0.0]","[0.6699999999999999, 0.33, 0.0]","[0.37, 0.29, 0.33]",219.41798329353333,0
63,0,B3,Students,63251,"[1.0, 0.0, 0.0]","[0.6699999999999999, 0.33, 0.0]","[0.37, 0.29, 0.33]",199.02855849266052,0
64,0,B3,Students,75772,"[1.0, 0.0, 0.0]","[0.6699999999999999, 0.33, 0.0]","[0.37, 0.29, 0.33]",207.64396619796753,0
65,0,B3,Fans,74895,"[1.0, 0.0, 0.0]","[0.64, 0.36, 0.0]","[0.35, 0.29, 0.36]",210.72473812103271,0
66,0,B3,Fans,4271,"[1.0, 0.0, 0.0]","[0.64, 0.36, 0.0]","[0.35, 0.29, 0.36]",207.2585253715515,0
67,0,B3,Fans,56216,"[1.0, 0.0, 0.0]","[0.64, 0.36, 0.0]","[0.35, 0.29, 0.36]",204.90340876579285,0
68,0,B3,Fans,63251,"[1.0, 0.0, 0.0]","[0.64, 0.36, 0.0]","[0.35, 0.29, 0.36]",200.63731479644775,0
69,0,B3,Fans,75772,"[1.0, 0.0, 0.0]","[0.64, 0.36, 0.0]","[0.35, 0.29, 0.36]",181.27272391319275,0
70,0,B4,Students,74895,"[1.0, 0.0, 0.0]","[0.6599999999999999, 0.34, 0.0]","[0.38, 0.28, 0.34]",209.54088044166565,0
71,0,B4,Students,4271,"[1.0, 0.0, 0.0]","[0.6599999999999999, 0.34, 0.0]","[0.38, 0.28, 0.34]",208.44371438026428,0
72,0,B4,Students,56216,"[1.0, 0.0, 0.0]","[0.6599999999999999, 0.34, 0.0]","[0.38, 0.28, 0.34]",208.50454783439636,0
73,0,B4,Students,63251,"[1.0, 0.0, 0.0]","[0.6599999999999999, 0.34, 0.0]","[0.38, 0.28, 0.34]",204.37548446655273,0
74,0,B4,Students,75772,"[1.0, 0.0, 0.0]","[0.6599999999999999, 0.34, 0.0]","[0.38, 0.28, 0.34]",203.72365546226501,0
75,0,B4,Fans,74895,"[1.0, 0.0, 0.0]","[0.6799999999999999, 0.32, 0.0]","[0.38, 0.3, 0.32]",201.60282731056213,0
76,0,B4,Fans,4271,"[1.0, 0.0, 0.0]","[0.6799999999999999, 0.32, 0.0]","[0.38, 0.3, 0.32]",208.45519948005676,0
77,0,B4,Fans,56216,"[1.0, 0.0, 0.0]","[0.6799999999999999, 0.32, 0.0]","[0.38, 0.3, 0.32]",201.41286373138428,0
78,0,B4,Fans,63251,"[1.0, 0.0, 0.0]","[0.6799999999999999, 0.32, 0.0]","[0.38, 0.3, 0.32]",204.23977637290955,0
79,0,B4,Fans,75772,"[1.0, 0.0, 0.0]","[0.6799999999999999, 0.32, 0.0]","[0.38, 0.3, 0.32]",199.3096523284912,0
