id,run_id,"('Parameter', 'dummy_var', 'condition')","('Parameter', 'dummy_var', 'statistic')","('Parameter', 'vadere', 'fixedSeed')","('Parameter', 'vadere', 'routeChoices.[instruction==""use target 11""].targetProbabilities')","('Parameter', 'vadere', ""routeChoices.[instruction=='use target 21'].targetProbabilities"")","('Parameter', 'vadere', 'routeChoices.[instruction==use target 31].targetProbabilities')","('Parameter', 'vadere', 'sources.[id==11].distributionParameters.updateFrequency')","('Parameter', 'vadere', 'sources.[id==21].distributionParameters.updateFrequency')","('Parameter', 'vadere', 'sources.[id==31].distributionParameters.updateFrequency')","('Parameter', 'vadere', 'usePsychologyLayer')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
24,0,A2,Students,75772,"[0.51, 0.27154, 0.21846]","[0.51, 0.27154, 0.21846]","[0.24874, 0.35451, 0.39675]",1.9183916903261813,3.6030778598598823,4.478530449813936,True,385.25915122032166,0
25,0,A2,Fans,74895,"[0.48887, 0.29522, 0.21591]","[0.48887, 0.29522, 0.21591]","[0.26834, 0.35167, 0.37999]",2.032445157697988,3.365630594959066,4.6019242473429465,True,398.88515043258667,0
26,0,A2,Fans,4271,"[0.48887, 0.29522, 0.21591]","[0.48887, 0.29522, 0.21591]","[0.26834, 0.35167, 0.37999]",2.032445157697988,3.365630594959066,4.6019242473429465,True,354.5421829223633,0
27,0,A2,Fans,56216,"[0.48887, 0.29522, 0.21591]","[0.48887, 0.29522, 0.21591]","[0.26834, 0.35167, 0.37999]",2.032445157697988,3.365630594959066,4.6019242473429465,True,385.1703293323517,0
28,0,A2,Fans,63251,"[0.48887, 0.29522, 0.21591]","[0.48887, 0.29522, 0.21591]","[0.26834, 0.35167, 0.37999]",2.032445157697988,3.365630594959066,4.6019242473429465,True,385.43613290786743,0
29,0,A2,Fans,75772,"[0.48887, 0.29522, 0.21591]","[0.48887, 0.29522, 0.21591]","[0.26834, 0.35167, 0.37999]",2.032445157697988,3.365630594959066,4.6019242473429465,True,377.0758328437805,0
30,0,A3,Students,74895,"[0.51, 0.27154, 0.21846]","[0.51, 0.27154, 0.21846]","[0.26192, 0.36091, 0.37717]",1.9183916903261813,3.6030778598598823,4.478530449813936,True,383.9897930622101,0
31,0,A3,Students,4271,"[0.51, 0.27154, 0.21846]","[0.51, 0.27154, 0.21846]","[0.26192, 0.36091, 0.37717]",1.9183916903261813,3.6030778598598823,4.478530449813936,True,372.0909426212311,0
32,0,A3,Students,56216,"[0.51, 0.27154, 0.21846]","[0.51, 0.27154, 0.21846]","[0.26192, 0.36091, 0.37717]",1.9183916903261813,3.6030778598598823,4.478530449813936,True,366.66558146476746,0
33,0,A3,Students,63251,"[0.51, 0.27154, 0.21846]","[0.51, 0.27154, 0.21846]","[0.26192, 0.36091, 0.37717]",1.9183916903261813,3.6030778598598823,4.478530449813936,True,361.03354930877686,0
34,0,A3,Students,75772,"[0.51, 0.27154, 0.21846]","[0.51, 0.27154, 0.21846]","[0.26192, 0.36091, 0.37717]",1.9183916903261813,3.6030778598598823,4.478530449813936,True,371.9997293949127,0
35,0,A3,Fans,74895,"[0.48887, 0.29522, 0.21591]","[0.48887, 0.29522, 0.21591]","[0.2468, 0.3496, 0.4036]",2.032445157697988,3.365630594959066,4.6019242473429465,True,368.5105679035187,0
36,0,A3,Fans,4271,"[0.48887, 0.29522, 0.21591]","[0.48887, 0.29522, 0.21591]","[0.2468, 0.3496, 0.4036]",2.032445157697988,3.365630594959066,4.6019242473429465,True,384.63068318367004,0
37,0,A3,Fans,56216,"[0.48887, 0.29522, 0.21591]","[0.48887, 0.29522, 0.21591]","[0.2468, 0.3496, 0.4036]",2.032445157697988,3.365630594959066,4.6019242473429465,True,346.6389482021332,0
38,0,A3,Fans,63251,"[0.48887, 0.29522, 0.21591]","[0.48887, 0.29522, 0.21591]","[0.2468, 0.3496, 0.4036]",2.032445157697988,3.365630594959066,4.6019242473429465,True,370.988294839859,0
39,0,A3,Fans,75772,"[0.48887, 0.29522, 0.21591]","[0.48887, 0.29522, 0.21591]","[0.2468, 0.3496, 0.4036]",2.032445157697988,3.365630594959066,4.6019242473429465,True,374.18964099884033,0
40,0,A4,Students,74895,"[0.51, 0.27154, 0.21846]","[0.51, 0.27154, 0.21846]","[0.27976, 0.32313, 0.39711]",1.9183916903261813,3.6030778598598823,4.478530449813936,True,382.9716286659241,0
41,0,A4,Students,4271,"[0.51, 0.27154, 0.21846]","[0.51, 0.27154, 0.21846]","[0.27976, 0.32313, 0.39711]",1.9183916903261813,3.6030778598598823,4.478530449813936,True,370.73673248291016,0
